BRTH_YR,GNDR,ETHCTY,NM,CNT,RNK
2011,FEMALE,HISPANIC,GERALDINE,13,75
2011,FEMALE,HISPANIC,GIA,21,67
2011,FEMALE,HISPANIC,GIANNA,49,42
2011,FEMALE,HISPANIC,GISELLE,38,51
2011,FEMALE,HISPANIC,GRACE,36,53
2011,FEMALE,HISPANIC,GUADALUPE,26,62
2011,FEMALE,HISPANIC,HAILEY,126,8
2011,FEMALE,HISPANIC,HALEY,14,74
2011,FEMALE,HISPANIC,HANNAH,17,71
2011,FEMALE,HISPANIC,HAYLEE,17,71
2011,FEMALE,HISPANIC,HAYLEY,13,75
2011,FEMALE,HISPANIC,HAZEL,10,78
2011,FEMALE,HISPANIC,HEAVEN,15,73
2011,FEMALE,HISPANIC,HEIDI,15,73
2011,FEMALE,HISPANIC,HEIDY,16,72
2011,FEMALE,HISPANIC,HELEN,13,75
2011,FEMALE,HISPANIC,IMANI,11,77
2011,FEMALE,HISPANIC,INGRID,11,77
2011,FEMALE,HISPANIC,IRENE,11,77
2011,FEMALE,HISPANIC,IRIS,10,78
2011,FEMALE,HISPANIC,ISABEL,28,60
2011,FEMALE,HISPANIC,ISABELA,10,78
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,HISPANIC,ISABELLE,18,70
2011,FEMALE,HISPANIC,ISIS,13,75
2011,FEMALE,HISPANIC,ITZEL,27,61
2011,FEMALE,HISPANIC,IZABELLA,23,65
2011,FEMALE,HISPANIC,JACQUELINE,30,58
2011,FEMALE,HISPANIC,JADA,21,67
2011,FEMALE,HISPANIC,JADE,50,41
2011,FEMALE,HISPANIC,JAELYNN,11,77
2011,FEMALE,HISPANIC,JAMIE,11,77
2011,FEMALE,HISPANIC,JANELLE,12,76
2011,FEMALE,HISPANIC,JASLENE,11,77
2011,FEMALE,HISPANIC,JASMIN,20,68
2011,FEMALE,HISPANIC,JASMINE,41,48
2011,FEMALE,HISPANIC,JAYDA,10,78
2011,FEMALE,HISPANIC,JAYLA,33,55
2011,FEMALE,HISPANIC,JAYLAH,12,76
2011,FEMALE,HISPANIC,JAYLEEN,51,40
2011,FEMALE,HISPANIC,JAYLENE,22,66
2011,FEMALE,HISPANIC,JAYLIN,13,75
2011,FEMALE,HISPANIC,JAYLYN,10,78
2011,FEMALE,HISPANIC,JAZLYN,16,72
2011,FEMALE,HISPANIC,JAZMIN,24,64
2011,FEMALE,HISPANIC,JAZMINE,14,74
2011,FEMALE,HISPANIC,JENNIFER,59,34
2011,FEMALE,HISPANIC,JESSICA,46,44
2011,FEMALE,HISPANIC,JIMENA,11,77
2011,FEMALE,HISPANIC,JOCELYN,46,44
2011,FEMALE,HISPANIC,JOHANNA,12,76
2011,FEMALE,HISPANIC,JOSELYN,30,58
2011,FEMALE,HISPANIC,JULIA,22,66
2011,FEMALE,HISPANIC,JULIANA,16,72
2011,FEMALE,HISPANIC,JULIANNA,21,67
2011,FEMALE,HISPANIC,JULIET,20,68
2011,FEMALE,HISPANIC,JULIETTE,15,73
2011,FEMALE,HISPANIC,JULISSA,16,72
2011,FEMALE,HISPANIC,KAELYN,11,77
2011,FEMALE,HISPANIC,KAILEY,20,68
2011,FEMALE,HISPANIC,KAILYN,11,77
2011,FEMALE,HISPANIC,KAITLYN,31,57
2011,FEMALE,HISPANIC,KAMILA,36,53
2011,FEMALE,HISPANIC,KAREN,41,48
2011,FEMALE,HISPANIC,KARLA,25,63
2011,FEMALE,HISPANIC,KATE,27,61
2011,FEMALE,HISPANIC,KATELYN,23,65
2011,FEMALE,HISPANIC,KATELYNN,10,78
2011,FEMALE,HISPANIC,KATHERINE,60,33
2011,FEMALE,HISPANIC,KATIE,12,76
2011,FEMALE,HISPANIC,KAYLA,62,31
2011,FEMALE,HISPANIC,KAYLEE,83,20
2011,FEMALE,HISPANIC,KAYLEEN,19,69
2011,FEMALE,HISPANIC,KAYLEIGH,10,78
2011,FEMALE,HISPANIC,KAYLIE,15,73
2011,FEMALE,HISPANIC,KAYLIN,12,76
2011,FEMALE,HISPANIC,KEILY,17,71
2011,FEMALE,HISPANIC,KELLY,41,48
2011,FEMALE,HISPANIC,KEYLA,12,76
2011,FEMALE,HISPANIC,KHLOE,57,35
2011,FEMALE,HISPANIC,KIARA,36,53
2011,FEMALE,HISPANIC,KIMBERLY,103,13
2011,FEMALE,HISPANIC,KRYSTAL,13,75
2011,FEMALE,HISPANIC,KYLEE,10,78
2011,FEMALE,HISPANIC,KYLIE,37,52
2011,FEMALE,HISPANIC,LAILA,29,59
2011,FEMALE,HISPANIC,LAURA,14,74
2011,FEMALE,HISPANIC,LAUREN,21,67
2011,FEMALE,HISPANIC,LAYLA,52,39
2011,FEMALE,HISPANIC,LEA,10,78
2011,FEMALE,HISPANIC,LEAH,123,9
2011,FEMALE,HISPANIC,LEILA,20,68
2011,FEMALE,HISPANIC,LEILANI,33,55
2011,FEMALE,HISPANIC,LESLEY,12,76
2011,FEMALE,HISPANIC,LESLIE,66,27
2011,FEMALE,HISPANIC,LESLY,16,72
2011,FEMALE,HISPANIC,LEYLA,10,78
2011,FEMALE,HISPANIC,LIA,26,62
2011,FEMALE,HISPANIC,LIANA,18,70
2011,FEMALE,HISPANIC,LILIANA,28,60
2011,FEMALE,HISPANIC,LILY,21,67
2011,FEMALE,HISPANIC,LINDSAY,12,76
2011,FEMALE,HISPANIC,LIZBETH,30,58
2011,FEMALE,HISPANIC,LONDON,27,61
2011,FEMALE,HISPANIC,LUCIA,20,68
2011,FEMALE,HISPANIC,LUNA,24,64
2011,FEMALE,HISPANIC,LUZ,25,63
2011,FEMALE,HISPANIC,MADELINE,15,73
2011,FEMALE,HISPANIC,MADELYN,16,72
2011,FEMALE,HISPANIC,MADISON,122,10
2011,FEMALE,HISPANIC,MAKAYLA,32,56
2011,FEMALE,HISPANIC,MARIA,59,34
2011,FEMALE,HISPANIC,MARIAH,33,55
2011,FEMALE,HISPANIC,MARIANA,12,76
2011,FEMALE,HISPANIC,MARILYN,10,78
2011,FEMALE,HISPANIC,MARISOL,10,78
2011,FEMALE,HISPANIC,MAYA,49,42
2011,FEMALE,HISPANIC,MEGAN,11,77
2011,FEMALE,HISPANIC,MELANIE,109,12
2011,FEMALE,HISPANIC,MELANY,14,74
2011,FEMALE,HISPANIC,MELISSA,50,41
2011,FEMALE,HISPANIC,MELODY,23,65
2011,FEMALE,HISPANIC,MIA,229,2
2011,FEMALE,HISPANIC,MIAH,17,71
2011,FEMALE,HISPANIC,MICHELLE,51,40
2011,FEMALE,HISPANIC,MIKAELA,14,74
2011,FEMALE,HISPANIC,MIKAYLA,26,62
2011,FEMALE,HISPANIC,MILA,19,69
2011,FEMALE,HISPANIC,MILEY,17,71
2011,FEMALE,HISPANIC,MIRANDA,11,77
2011,FEMALE,HISPANIC,MIRIAM,11,77
2011,FEMALE,HISPANIC,MYA,29,59
2011,FEMALE,HISPANIC,NADIA,14,74
2011,FEMALE,HISPANIC,NANCY,10,78
2011,FEMALE,HISPANIC,NAOMI,22,66
2011,FEMALE,HISPANIC,NATALIA,50,41
2011,FEMALE,HISPANIC,NATALIE,46,44
2011,FEMALE,HISPANIC,NATALY,13,75
2011,FEMALE,HISPANIC,NATASHA,11,77
2011,FEMALE,HISPANIC,NATHALIA,10,78
2011,FEMALE,HISPANIC,NATHALIE,26,62
2011,FEMALE,HISPANIC,NATHALY,20,68
2011,FEMALE,HISPANIC,NAYELI,17,71
2011,FEMALE,HISPANIC,NEVAEH,32,56
2011,FEMALE,HISPANIC,NICOLE,71,25
2011,FEMALE,HISPANIC,NINA,11,77
2011,FEMALE,HISPANIC,NOEMI,11,77
2011,FEMALE,HISPANIC,NYLA,16,72
2011,FEMALE,HISPANIC,OLIVIA,86,18
2011,FEMALE,HISPANIC,PAOLA,10,78
2011,FEMALE,HISPANIC,PENELOPE,14,74
2011,FEMALE,HISPANIC,PERLA,12,76
2011,FEMALE,HISPANIC,RACHEL,25,63
2011,FEMALE,HISPANIC,RAQUEL,11,77
2011,FEMALE,HISPANIC,REBECCA,10,78
2011,FEMALE,HISPANIC,RIHANNA,21,67
2011,FEMALE,HISPANIC,RILEY,12,76
2011,FEMALE,HISPANIC,ROSA,10,78
2011,FEMALE,HISPANIC,ROSE,11,77
2011,FEMALE,HISPANIC,ROSELYN,16,72
2011,FEMALE,HISPANIC,RUBY,20,68
2011,FEMALE,HISPANIC,SABRINA,25,63
2011,FEMALE,HISPANIC,SADIE,11,77
2011,FEMALE,HISPANIC,SAMANTHA,100,14
2011,FEMALE,HISPANIC,SAMARA,12,76
2011,FEMALE,HISPANIC,SARA,29,59
2011,FEMALE,HISPANIC,SARAH,53,38
2011,FEMALE,HISPANIC,SARAI,24,64
2011,FEMALE,HISPANIC,SARIAH,10,78
2011,FEMALE,HISPANIC,SASHA,10,78
2011,FEMALE,HISPANIC,SAVANNA,10,78
2011,FEMALE,HISPANIC,SAVANNAH,38,51
2011,FEMALE,HISPANIC,SCARLET,29,59
2011,FEMALE,HISPANIC,SCARLETT,65,28
2011,FEMALE,HISPANIC,SELENA,15,73
2011,FEMALE,HISPANIC,SERENITY,37,52
2011,FEMALE,HISPANIC,SHERLYN,13,75
2011,FEMALE,HISPANIC,SHIRLEY,15,73
2011,FEMALE,HISPANIC,SIENNA,17,71
2011,FEMALE,HISPANIC,SKYLA,21,67
2011,FEMALE,HISPANIC,SKYLAR,12,76
2011,FEMALE,HISPANIC,SOFIA,165,6
2011,FEMALE,HISPANIC,SOPHIA,223,3
2011,FEMALE,HISPANIC,SOPHIE,12,76
2011,FEMALE,HISPANIC,STACY,10,78
2011,FEMALE,HISPANIC,STELLA,11,77
2011,FEMALE,HISPANIC,STEPHANIE,50,41
